key_bits,recovered_zeros_x,recovered_zeros_y,wrong_zeros_x,wrong_zeros_y,queries,traces,calibration_traces,threshold,tpr,tnr,duration_seconds
17669,9883,8126,0,0,13224648,,,,,,4179.917647483
17669,7572,10147,0,0,10202448,,,,,,3166.890305946
17669,8676,9011,0,0,2769964,,,,,,905.275446401
17669,8775,8900,0,0,4467484,,,,,,1391.117433763
17669,8885,8830,0,0,3194674,,,,,,1015.216046612
17669,9384,8317,2,0,8250572,,,,,,2653.953618369
17669,8400,9284,0,0,24912910,,,,,,8278.47630395
17669,9277,8404,2,0,3045544,,,,,,973.516142151
17669,10184,7550,0,0,5145000,,,,,,1639.630500438
17669,8910,8783,0,0,6347834,,,,,,1996.148299841
17669,8221,9462,2,0,6849538,,,,,,2294.673155607
17669,8761,8916,0,0,2592754,,,,,,840.313737105
17669,8958,8745,0,0,9734032,,,,,,3125.966209645
17669,8791,8896,0,0,6219914,,,,,,1968.744885065
17669,9175,8511,0,0,6105258,,,,,,1932.950386439
17669,9249,8474,2,0,6320520,,,,,,2001.154703402
17669,8855,8830,2,0,5385296,,,,,,1688.233014021
17669,10276,7620,0,0,4783584,,,,,,1514.31183565
17669,8663,9171,2,0,15047846,,,,,,4833.849628694
17669,3840,14208,13,40,816560,,,,,,275.553891539
17669,9242,8474,0,0,4962438,,,,,,1576.878173363
17669,8732,9024,0,0,1979530,,,,,,622.046396762
17669,8897,9006,2,0,6534504,,,,,,2076.450491999
17669,8469,9342,0,0,3533398,,,,,,1186.40967391
17669,8784,9219,0,0,3577900,,,,,,1121.488985102
17669,9154,8533,0,0,4196680,,,,,,1345.328093877
17669,8416,9258,0,0,5681390,,,,,,1824.688588919
17669,9091,8586,0,0,3330996,,,,,,1040.985745779
17669,8452,9338,0,0,5604836,,,,,,1790.127346735
17669,8978,8717,0,0,3859962,,,,,,1265.678023836
17669,8605,9083,0,0,5696724,,,,,,1793.219588381
17669,9482,8203,0,0,15245546,,,,,,4778.225893613
17669,9046,8700,0,0,15292036,,,,,,4886.451443196
17669,7570,10268,0,0,2610434,,,,,,845.898482793
17669,9478,8246,0,0,6095374,,,,,,1959.131646821
17669,9340,8475,0,0,8853818,,,,,,2821.724105994
17669,7831,9843,0,2,6198560,,,,,,1912.498746426
17669,9587,8256,0,0,7342146,,,,,,2351.126841836
17669,9353,8321,0,0,10957972,,,,,,3398.759753626
17669,8566,9132,0,0,2830160,,,,,,917.041740846
17669,6964,10752,0,0,5233354,,,,,,1661.33663274
17669,8146,9674,0,0,2767782,,,,,,906.504138176
17669,8135,9887,0,0,3296140,,,,,,1059.060144586
17669,9143,8538,0,0,6911612,,,,,,2223.423253878
17669,8411,9327,0,0,6550680,,,,,,2016.847775329
17669,8335,9359,0,0,8440954,,,,,,2770.037378612
17669,7860,9981,0,0,4263764,,,,,,1285.187795647
17669,7877,9918,0,2,2796454,,,,,,912.119176555
17669,9739,8111,0,0,29441402,,,,,,9730.173762732
17669,7862,9874,0,0,2695496,,,,,,894.582562557
